Statistik_Code,Statistik_Label,Berichtsjahr,Masseinheit,Gesamt,Beschieden,Positiv_Beschieden,Volle_Gleichwertigkeit,Negativ_Beschieden
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Anzahl,95451,81858,79104,37017,2754
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Anzahl,81693,67536,65280,31659,2256
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Anzahl,65943,54261,52290,26301,1971
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Anzahl,59763,49017,46935,25467,2079
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Anzahl,59028,47169,44790,24858,2379
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2019,Anzahl,57309,44739,42462,22692,2277
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2018,Anzahl,50514,38448,36369,20211,2079
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2017,Anzahl,44028,32166,30222,19029,1944
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2016,Anzahl,38004,28149,26235,17136,1914
